frame_id,object_id,class,x,y,center,xmin,ymin,xmax,ymax
3,1,person,302.5,934.5,"(302, 934)",242,789,363,1080
3,2,person,750.0,316.0,"(750, 316)",717,223,783,409
3,3,person,1660.0,737.5,"(1660, 738)",1605,611,1715,864
3,4,person,914.5,150.5,"(915, 151)",882,73,947,228
3,5,person,830.5,328.0,"(831, 328)",803,239,858,417
3,6,person,923.0,491.5,"(923, 491)",861,390,985,593
3,7,person,1680.0,198.5,"(1680, 199)",1646,118,1714,279
3,8,person,326.0,387.5,"(326, 387)",280,292,372,483
3,9,person,1492.5,106.0,"(1493, 106)",1452,27,1533,185
3,10,person,1640.5,999.0,"(1641, 999)",1573,918,1708,1080
3,11,person,1833.5,259.5,"(1834, 260)",1801,177,1866,342
3,12,person,703.5,1041.0,"(703, 1041)",605,1002,802,1080
3,13,person,1174.0,37.5,"(1174, 37)",1154,0,1194,75
4,1,person,302.0,934.5,"(302, 934)",242,789,362,1080
4,2,person,750.0,316.0,"(750, 316)",717,223,783,409
4,3,person,1660.0,737.5,"(1660, 738)",1605,611,1715,864
4,4,person,914.5,150.5,"(915, 151)",882,73,947,228
4,5,person,830.5,328.0,"(831, 328)",803,239,858,417
4,6,person,922.5,491.5,"(923, 491)",861,390,984,593
4,7,person,1680.5,198.5,"(1680, 199)",1646,118,1715,279
4,8,person,326.0,387.0,"(326, 387)",280,291,372,483
4,9,person,1492.5,106.0,"(1493, 106)",1452,27,1533,185
4,10,person,1640.5,999.0,"(1641, 999)",1573,918,1708,1080
4,11,person,1834.0,259.0,"(1834, 259)",1801,176,1867,342
4,12,person,704.0,1041.0,"(704, 1041)",606,1002,802,1080
4,13,person,1174.0,37.5,"(1174, 37)",1154,0,1194,75
5,1,person,299.5,937.5,"(300, 937)",240,795,359,1080
5,2,person,753.0,316.0,"(753, 316)",720,223,786,409
5,3,person,1659.0,738.0,"(1659, 738)",1604,612,1714,864
5,4,person,915.5,150.5,"(915, 151)",883,73,948,228
5,5,person,833.0,327.5,"(833, 328)",805,237,861,418
5,6,person,919.5,501.0,"(920, 501)",854,392,985,610
5,7,person,1680.5,198.0,"(1680, 198)",1647,119,1714,277
